gene_id	external_gene_name	description
Potri.002G236000	Tic22-like_family_protein	Tic22-like_family_protein
Potri.002G236100	NA	NA
Potri.002G236200	xyloglucan_endotransglucosylase/hydrolase_16	xyloglucan_endotransglucosylase/hydrolase_16
Potri.002G236300	NA	NA
Potri.002G236400	indole-3-acetate_beta-D-glucosyltransferase	indole-3-acetate_beta-D-glucosyltransferase
Potri.002G236500	indole-3-acetate_beta-D-glucosyltransferase	indole-3-acetate_beta-D-glucosyltransferase
Potri.002G236600	Phosphoglycerate_mutase_family_protein	Phosphoglycerate_mutase_family_protein
Potri.002G236700	NAD(P)-binding_Rossmann-fold_superfamily_protein	NAD(P)-binding_Rossmann-fold_superfamily_protein
Potri.002G236800	aspartate_kinase_3	aspartate_kinase_3
Potri.002G236900	NA	NA
Potri.002G237000	NA	NA
Potri.002G237100	Pentatricopeptide_repeat_(PPR)_superfamily_protein	Pentatricopeptide_repeat_(PPR)_superfamily_protein
Potri.002G237200	Family_of_unknown_function_(DUF716)_	Family_of_unknown_function_(DUF716)_
Potri.002G237300	photosystem_II_reaction_center_protein_L	photosystem_II_reaction_center_protein_L
Potri.002G237400	DEAD/DEAH_box_helicase,_putative	DEAD/DEAH_box_helicase,_putative
Potri.002G237500	K+_uptake_transporter_3	K+_uptake_transporter_3
Potri.002G237600	Protein_kinase_superfamily_protein	Protein_kinase_superfamily_protein
Potri.002G237700	Protein_of_unknown_function_(DUF3754)	Protein_of_unknown_function_(DUF3754)
Potri.002G237800	NA	NA
Potri.002G237900	SU(VAR)3-9_homolog_4	SU(VAR)3-9_homolog_4
Potri.002G238000	SU(VAR)3-9_homolog_4	SU(VAR)3-9_homolog_4
Potri.002G238100	NA	NA
Potri.002G238200	Glycosyl_hydrolase_family_38_protein	Glycosyl_hydrolase_family_38_protein
Potri.002G238300	transthyretin-like_protein	transthyretin-like_protein
Potri.002G238400	NA	NA
Potri.002G238500	Sec23/Sec24_protein_transport_family_protein	Sec23/Sec24_protein_transport_family_protein
Potri.002G238600	UDP-Glycosyltransferase_superfamily_protein	UDP-Glycosyltransferase_superfamily_protein
Potri.002G238700	C2H2-like_zinc_finger_protein	C2H2-like_zinc_finger_protein
Potri.002G238800	Pectin_lyase-like_superfamily_protein	Pectin_lyase-like_superfamily_protein
Potri.002G238900	Protein_of_unknown_function,_DUF538	Protein_of_unknown_function,_DUF538
Potri.002G239000	2Fe-2S_ferredoxin-like_superfamily_protein	2Fe-2S_ferredoxin-like_superfamily_protein
Potri.002G239100	ARF-GAP_domain_11	ARF-GAP_domain_11
Potri.002G239200	RNA-binding_CRS1_/_YhbY_(CRM)_domain_protein	RNA-binding_CRS1_/_YhbY_(CRM)_domain_protein
Potri.002G239300	Far-red_impaired_responsive_(FAR1)_family_protein	Far-red_impaired_responsive_(FAR1)_family_protein
Potri.002G239400	Far-red_impaired_responsive_(FAR1)_family_protein	Far-red_impaired_responsive_(FAR1)_family_protein
Potri.002G239500	NA	NA
Potri.002G239600	Tetratricopeptide_repeat_(TPR)-like_superfamily_protein	Tetratricopeptide_repeat_(TPR)-like_superfamily_protein
Potri.002G239700	photosystem_I_subunit_l	photosystem_I_subunit_l
Potri.002G239800	Rhodanese/Cell_cycle_control_phosphatase_superfamily_protein	Rhodanese/Cell_cycle_control_phosphatase_superfamily_protein
Potri.002G239900	FRIGIDA-like_protein	FRIGIDA-like_protein
Potri.002G240000	BAK1-interacting_receptor-like_kinase_1	BAK1-interacting_receptor-like_kinase_1
Potri.002G240100	Thioesterase/thiol_ester_dehydrase-isomerase_superfamily_protein	Thioesterase/thiol_ester_dehydrase-isomerase_superfamily_protein
Potri.002G240200	formin_homology_1	formin_homology_1
Potri.002G240300	NA	NA
Potri.002G240400	NA	NA
Potri.002G240500	NA	NA
Potri.002G240600	Alba_DNA/RNA-binding_protein	Alba_DNA/RNA-binding_protein
Potri.002G240700	Tetratricopeptide_repeat_(TPR)-like_superfamily_protein	Tetratricopeptide_repeat_(TPR)-like_superfamily_protein
Potri.002G240800	homolog_of_bacterial_PANC	homolog_of_bacterial_PANC
Potri.002G240900	vesicle-associated_membrane_protein_726	vesicle-associated_membrane_protein_726
Potri.002G241000	NA	NA
Potri.002G241100	GTP-binding_family_protein	GTP-binding_family_protein
Potri.002G241200	NA	NA
Potri.002G241300	CLAVATA3/ESR-RELATED_41	CLAVATA3/ESR-RELATED_41
Potri.002G241400	NHL_domain-containing_protein	NHL_domain-containing_protein
Potri.002G241500	plantacyanin	plantacyanin
Potri.002G241600	Protein_kinase_superfamily_protein	Protein_kinase_superfamily_protein
Potri.002G241700	PPPDE_putative_thiol_peptidase_family_protein	PPPDE_putative_thiol_peptidase_family_protein
Potri.002G241800	LEUNIG_homolog	LEUNIG_homolog
Potri.002G241900	proteolysis_1	proteolysis_1
Potri.002G242000	chitinase_A	chitinase_A
Potri.002G242100	inhibitor/interactor_with_cyclin-dependent_kinase	inhibitor/interactor_with_cyclin-dependent_kinase
Potri.002G242200	BSD_domain-containing_protein	BSD_domain-containing_protein
Potri.002G242300	Phototropic-responsive_NPH3_family_protein	Phototropic-responsive_NPH3_family_protein
Potri.002G242400	NA	NA
Potri.002G242500	cytochrome_B5_isoform_B	cytochrome_B5_isoform_B
Potri.002G242600	Ribosomal_protein_L13_family_protein	Ribosomal_protein_L13_family_protein
Potri.002G242700	Leucine-rich_repeat_protein_kinase_family_protein	Leucine-rich_repeat_protein_kinase_family_protein
Potri.002G242800	NA	NA
Potri.002G242900	Protein_of_unknown_function,_DUF593	Protein_of_unknown_function,_DUF593
Potri.002G243000	Sec14p-like_phosphatidylinositol_transfer_family_protein	Sec14p-like_phosphatidylinositol_transfer_family_protein
Potri.002G243100	NA	NA
Potri.002G243200	NA	NA
Potri.002G243300	Homeodomain-like_superfamily_protein	Homeodomain-like_superfamily_protein
Potri.002G243400	Helicase/SANT-associated,_DNA_binding_protein	Helicase/SANT-associated,_DNA_binding_protein
Potri.002G243500	urease_accessory_protein_G	urease_accessory_protein_G
Potri.002G243600	Pentatricopeptide_repeat_(PPR)_superfamily_protein	Pentatricopeptide_repeat_(PPR)_superfamily_protein
Potri.002G243700	urease_accessory_protein_G	urease_accessory_protein_G
Potri.002G243800	RING/U-box_superfamily_protein	RING/U-box_superfamily_protein
Potri.002G243900	purple_acid_phosphatase_15	purple_acid_phosphatase_15
Potri.002G244000	x-ray_induced_transcript_1	x-ray_induced_transcript_1
Potri.002G244100	purine_permease_1	purine_permease_1
Potri.002G244200	xyloglucan_endotransglucosylase/hydrolase_2	xyloglucan_endotransglucosylase/hydrolase_2
Potri.002G244300	GPI_transamidase_component_Gpi16_subunit_family_protein	GPI_transamidase_component_Gpi16_subunit_family_protein
Potri.002G244400	NA	NA
Potri.002G244500	ubiquitin-associated_(UBA)/TS-N_domain-containing_protein	ubiquitin-associated_(UBA)/TS-N_domain-containing_protein
Potri.002G244600	HXXXD-type_acyl-transferase_family_protein	HXXXD-type_acyl-transferase_family_protein
Potri.002G244700	Sterile_alpha_motif_(SAM)_domain-containing_protein	Sterile_alpha_motif_(SAM)_domain-containing_protein
Potri.002G244800	GPI_transamidase_component_PIG-S-related	GPI_transamidase_component_PIG-S-related
Potri.002G244900	Ubiquitin_carboxyl-terminal_hydrolase_family_protein	Ubiquitin_carboxyl-terminal_hydrolase_family_protein
Potri.002G245000	GPI_transamidase_component_PIG-S-related	GPI_transamidase_component_PIG-S-related
Potri.002G245100	Ubiquitin_carboxyl-terminal_hydrolase_family_protein	Ubiquitin_carboxyl-terminal_hydrolase_family_protein
Potri.002G245200	Tetratricopeptide_repeat_(TPR)-like_superfamily_protein	Tetratricopeptide_repeat_(TPR)-like_superfamily_protein
Potri.002G245300	B-cell_receptor-associated_protein_31-like_	B-cell_receptor-associated_protein_31-like_
Potri.002G245400	RPM1_interacting_protein_4	RPM1_interacting_protein_4
Potri.002G245500	RING/U-box_superfamily_protein	RING/U-box_superfamily_protein
Potri.002G245600	fatA_acyl-ACP_thioesterase	fatA_acyl-ACP_thioesterase
Potri.002G245700	NA	NA
Potri.002G245800	dolichol-phosphate_mannosyltransferase-related	dolichol-phosphate_mannosyltransferase-related
Potri.002G245900	SMAD/FHA_domain-containing_protein_	SMAD/FHA_domain-containing_protein_
Potri.002G246000	Mitochondrial_import_inner_membrane_translocase_subunit_Tim17/Tim22/Tim23_family_protein	Mitochondrial_import_inner_membrane_translocase_subunit_Tim17/Tim22/Tim23_family_protein
Potri.002G246100	Integrase-type_DNA-binding_superfamily_protein	Integrase-type_DNA-binding_superfamily_protein
Potri.002G246200	NA	NA
Potri.002G246300	wound-responsive_protein-related	wound-responsive_protein-related
Potri.002G246400	NA	NA
Potri.002G246500	Nucleotide-diphospho-sugar_transferases_superfamily_protein	Nucleotide-diphospho-sugar_transferases_superfamily_protein
Potri.002G246600	Nuclear_transport_factor_2_(NTF2)_family_protein_with_RNA_binding_(RRM-RBD-RNP_motifs)_domain	Nuclear_transport_factor_2_(NTF2)_family_protein_with_RNA_binding_(RRM-RBD-RNP_motifs)_domain
Potri.002G246700	ER_lumen_protein_retaining_receptor_family_protein	ER_lumen_protein_retaining_receptor_family_protein
Potri.002G246800	Cyclin_family_protein	Cyclin_family_protein
Potri.002G246900	NA	NA
Potri.002G247000	NA	NA
Potri.002G247100	GTP_cyclohydrolase_I	GTP_cyclohydrolase_I
Potri.002G247200	NA	NA
Potri.002G247300	NA	NA
Potri.002G247400	P-loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein	P-loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein
Potri.002G247500	Protein_kinase_superfamily_protein	Protein_kinase_superfamily_protein
Potri.002G247600	NA	NA
Potri.002G247700	Protein_of_unknown_function_(DUF760)	Protein_of_unknown_function_(DUF760)
Potri.002G247800	O-Glycosyl_hydrolases_family_17_protein	O-Glycosyl_hydrolases_family_17_protein
Potri.002G247900	O-Glycosyl_hydrolases_family_17_protein	O-Glycosyl_hydrolases_family_17_protein
Potri.002G248000	NA	NA
Potri.002G248100	Tetratricopeptide_repeat_(TPR)-like_superfamily_protein	Tetratricopeptide_repeat_(TPR)-like_superfamily_protein
Potri.002G248200	FK506-_and_rapamycin-binding_protein_15_kD-2	FK506-_and_rapamycin-binding_protein_15_kD-2
Potri.002G248300	rotamase_FKBP_1	rotamase_FKBP_1
Potri.002G248400	Cellulose-synthase-like_C6	Cellulose-synthase-like_C6
Potri.002G248500	basic_helix-loop-helix_(bHLH)_DNA-binding_superfamily_protein	basic_helix-loop-helix_(bHLH)_DNA-binding_superfamily_protein
Potri.002G248600	plant_U-box_9	plant_U-box_9
Potri.002G248700	carboxyl_terminus_of_HSC70-interacting_protein	carboxyl_terminus_of_HSC70-interacting_protein
Potri.002G248800	histidine_triad_nucleotide-binding_3	histidine_triad_nucleotide-binding_3
Potri.002G248900	AGC_(cAMP-dependent,_cGMP-dependent_and_protein_kinase_C)_kinase_family_protein	AGC_(cAMP-dependent,_cGMP-dependent_and_protein_kinase_C)_kinase_family_protein
Potri.002G249000	Ribosomal_protein_L32e	Ribosomal_protein_L32e
Potri.002G249100	Major_facilitator_superfamily_protein	Major_facilitator_superfamily_protein
Potri.002G249200	auxin-responsive_family_protein	auxin-responsive_family_protein
Potri.002G249300	Auxin-responsive_family_protein	Auxin-responsive_family_protein
Potri.002G249400	lipase_class_3_family_protein	lipase_class_3_family_protein
Potri.002G249500	RAB_GTPase_homolog_A5E	RAB_GTPase_homolog_A5E
Potri.002G249600	receptor-like_protein_kinase-related_family_protein	receptor-like_protein_kinase-related_family_protein
Potri.002G249700	asparaginyl-tRNA_synthetase_2	asparaginyl-tRNA_synthetase_2
Potri.002G249800	UBP1-associated_protein_2A	UBP1-associated_protein_2A
Potri.002G249900	NA	NA
Potri.002G249900	stomagen	stomagen
Potri.002G250000	NA	NA
Potri.002G250100	NA	NA
Potri.002G250200	YGGT_family_protein	YGGT_family_protein
Potri.002G250300	receptor-like_protein_kinase-related_family_protein	receptor-like_protein_kinase-related_family_protein
Potri.002G250400	NA	NA
Potri.002G250500	NA	NA
Potri.002G250600	NA	NA
Potri.002G250700	serine-rich_protein-related	serine-rich_protein-related
Potri.002G250800	NA	NA
Potri.002G250900	NA	NA
Potri.002G251000	Bifunctional_inhibitor/lipid-transfer_protein/seed_storage_2S_albumin_superfamily_protein	Bifunctional_inhibitor/lipid-transfer_protein/seed_storage_2S_albumin_superfamily_protein
Potri.002G251100	NA	NA
Potri.002G251200	Lactoylglutathione_lyase_/_glyoxalase_I_family_protein	Lactoylglutathione_lyase_/_glyoxalase_I_family_protein
Potri.002G251300	Protein_kinase_superfamily_protein	Protein_kinase_superfamily_protein
Potri.002G251400	NA	NA
Potri.002G251500	NA	NA
Potri.002G251600	Actin_binding_Calponin_homology_(CH)_domain-containing_protein	Actin_binding_Calponin_homology_(CH)_domain-containing_protein
Potri.002G251700	transmembrane_kinase-like_1	transmembrane_kinase-like_1
Potri.002G251800	NA	NA
Potri.002G251900	NA	NA
Potri.002G252000	AP2/B3-like_transcriptional_factor_family_protein	AP2/B3-like_transcriptional_factor_family_protein
Potri.002G252100	Late_embryogenesis_abundant_protein_(LEA)_family_protein	Late_embryogenesis_abundant_protein_(LEA)_family_protein
Potri.002G252200	glycine-rich_protein	glycine-rich_protein
Potri.002G252300	NA	NA
Potri.002G252400	NA	NA
Potri.002G252500	S-protein_homologue_1	S-protein_homologue_1
Potri.002G252600	regulatory_particle_AAA-ATPase_2A	regulatory_particle_AAA-ATPase_2A
Potri.002G252700	HIT-type_Zinc_finger_family_protein	HIT-type_Zinc_finger_family_protein
Potri.002G252800	phytochrome_interacting_factor_3-like_5	phytochrome_interacting_factor_3-like_5
Potri.002G252900	heat_shock_protein_60	heat_shock_protein_60
Potri.002G253000	response_regulator_24	response_regulator_24
Potri.002G253100	response_regulator_24	response_regulator_24
Potri.002G253200	CLIP-associated_protein	CLIP-associated_protein
Potri.002G253300	NA	NA
Potri.002G253400	GDSL-like_Lipase/Acylhydrolase_superfamily_protein	GDSL-like_Lipase/Acylhydrolase_superfamily_protein
Potri.002G253500	Tetraspanin_family_protein	Tetraspanin_family_protein
Potri.002G253600	Protein_of_unknown_function_(DUF3741)	Protein_of_unknown_function_(DUF3741)
Potri.002G253700	Protein_of_unknown_function_(DUF3741)	Protein_of_unknown_function_(DUF3741)
Potri.002G253800	photosystem_I_subunit_E-2	photosystem_I_subunit_E-2
Potri.002G253900	glutathione_S-transferase_tau_7	glutathione_S-transferase_tau_7
Potri.002G254000	glutathione_S-transferase_tau_7	glutathione_S-transferase_tau_7
Potri.002G254100	Glutaredoxin_family_protein	Glutaredoxin_family_protein
Potri.002G254200	Flavin-binding_monooxygenase_family_protein	Flavin-binding_monooxygenase_family_protein
Potri.002G254300	myosin_2	myosin_2
Potri.002G254300	myosin_XI_B	myosin_XI_B
Potri.002G254400	C2_calcium/lipid-binding_plant_phosphoribosyltransferase_family_protein	C2_calcium/lipid-binding_plant_phosphoribosyltransferase_family_protein
Potri.002G254500	pfkB-like_carbohydrate_kinase_family_protein	pfkB-like_carbohydrate_kinase_family_protein
Potri.002G254600	Protein_kinase_superfamily_protein	Protein_kinase_superfamily_protein
Potri.002G254700	Transducin_family_protein_/_WD-40_repeat_family_protein	Transducin_family_protein_/_WD-40_repeat_family_protein
Potri.002G254800	RmlC-like_cupins_superfamily_protein	RmlC-like_cupins_superfamily_protein
Potri.002G254900	GroES-like_zinc-binding_dehydrogenase_family_protein	GroES-like_zinc-binding_dehydrogenase_family_protein
Potri.002G255000	ammonium_transporter_1;1	ammonium_transporter_1;1
Potri.002G255100	ammonium_transporter_1;1	ammonium_transporter_1;1
Potri.002G255200	NA	NA
Potri.002G255300	Tetratricopeptide_repeat_(TPR)-like_superfamily_protein	Tetratricopeptide_repeat_(TPR)-like_superfamily_protein
Potri.002G255400	NA	NA
Potri.002G255400	RPM1_interacting_protein_13	RPM1_interacting_protein_13
Potri.002G255500	DENN_(AEX-3)_domain-containing_protein	DENN_(AEX-3)_domain-containing_protein
Potri.002G255600	Pyridoxal_phosphate_(PLP)-dependent_transferases_superfamily_protein	Pyridoxal_phosphate_(PLP)-dependent_transferases_superfamily_protein
Potri.002G255700	MADS-box_transcription_factor_family_protein	MADS-box_transcription_factor_family_protein
Potri.002G255800	multidrug_resistance-associated_protein_5	multidrug_resistance-associated_protein_5
Potri.002G255900	NAD(P)-binding_Rossmann-fold_superfamily_protein	NAD(P)-binding_Rossmann-fold_superfamily_protein
Potri.002G256000	NA	NA
Potri.002G256100	NA	NA
Potri.002G256200	Exostosin_family_protein	Exostosin_family_protein
Potri.002G256300	Subtilase_family_protein	Subtilase_family_protein
Potri.002G256400	photosystem_II_reaction_center_PSB28_protein	photosystem_II_reaction_center_PSB28_protein
Potri.002G256500	Leucine-rich_repeat_transmembrane_protein_kinase_family_protein	Leucine-rich_repeat_transmembrane_protein_kinase_family_protein
Potri.002G256600	indole-3-acetic_acid_inducible_11	indole-3-acetic_acid_inducible_11
Potri.002G256700	NA	NA
Potri.002G256800	Plant_protein_of_unknown_function_(DUF946)	Plant_protein_of_unknown_function_(DUF946)
Potri.002G256900	Tetratricopeptide_repeat_(TPR)-like_superfamily_protein	Tetratricopeptide_repeat_(TPR)-like_superfamily_protein
Potri.002G257000	Nuclear_transport_factor_2_(NTF2)_family_protein_with_RNA_binding_(RRM-RBD-RNP_motifs)_domain	Nuclear_transport_factor_2_(NTF2)_family_protein_with_RNA_binding_(RRM-RBD-RNP_motifs)_domain
Potri.002G257100	Tetratricopeptide_repeat_(TPR)-like_superfamily_protein	Tetratricopeptide_repeat_(TPR)-like_superfamily_protein
Potri.002G257200	translocase_of_outer_membrane_22-V	translocase_of_outer_membrane_22-V
Potri.002G257300	plasmodesmata-located_protein_2	plasmodesmata-located_protein_2
Potri.002G257400	SET-domain_containing_protein_lysine_methyltransferase_family_protein	SET-domain_containing_protein_lysine_methyltransferase_family_protein
Potri.002G257500	Ribosomal_protein_L14p/L23e_family_protein	Ribosomal_protein_L14p/L23e_family_protein
Potri.002G257600	NA	NA
Potri.002G257700	HAD_superfamily,_subfamily_IIIB_acid_phosphatase_	HAD_superfamily,_subfamily_IIIB_acid_phosphatase_
Potri.002G257800	phosphate_starvation_response__1	phosphate_starvation_response__1
Potri.002G257900	cellulose_synthase_A4	cellulose_synthase_A4
Potri.002G258000	Leucine-rich_repeat_receptor-like_protein_kinase_family_protein	Leucine-rich_repeat_receptor-like_protein_kinase_family_protein
Potri.002G258100	Leucine-rich_repeat_transmembrane_protein_kinase	Leucine-rich_repeat_transmembrane_protein_kinase
Potri.002G258200	Leucine-rich_repeat_receptor-like_protein_kinase_family_protein	Leucine-rich_repeat_receptor-like_protein_kinase_family_protein
Potri.002G258300	NA	NA
Potri.002G258400	Protein_kinase_family_protein_with_leucine-rich_repeat_domain	Protein_kinase_family_protein_with_leucine-rich_repeat_domain
Potri.002G258500	NA	NA
Potri.002G258600	RNA-binding_(RRM/RBD/RNP_motifs)_family_protein	RNA-binding_(RRM/RBD/RNP_motifs)_family_protein
Potri.002G258700	peptide_transporter_3	peptide_transporter_3
Potri.002G258800	basic_helix-loop-helix_(bHLH)_DNA-binding_superfamily_protein	basic_helix-loop-helix_(bHLH)_DNA-binding_superfamily_protein
Potri.002G258900	peptide_transporter_3	peptide_transporter_3
Potri.002G259000	breast_cancer_associated_RING_1	breast_cancer_associated_RING_1
Potri.002G259100	NA	NA
Potri.002G259200	Immunoglobulin_E-set_superfamily_protein	Immunoglobulin_E-set_superfamily_protein
Potri.002G259300	no_pollen_germination_related_2	no_pollen_germination_related_2
Potri.002G259400	NA	NA
Potri.002G259500	low-molecular-weight_cysteine-rich_42	low-molecular-weight_cysteine-rich_42
Potri.002G259600	ATP_citrate_lyase_(ACL)_family_protein	ATP_citrate_lyase_(ACL)_family_protein
Potri.002G259700	Long-chain_fatty_alcohol_dehydrogenase_family_protein	Long-chain_fatty_alcohol_dehydrogenase_family_protein
Potri.002G259800	phytochelatin_synthase_1_(PCS1)	phytochelatin_synthase_1_(PCS1)
Potri.002G259900	Major_facilitator_superfamily_protein	Major_facilitator_superfamily_protein
Potri.002G260000	RAD-like_6	RAD-like_6
Potri.002G260100	Leucine-rich_repeat_protein_kinase_family_protein	Leucine-rich_repeat_protein_kinase_family_protein
Potri.002G260200	HAD-superfamily_hydrolase,_subfamily_IG,_5\'-nucleotidase	HAD-superfamily_hydrolase,_subfamily_IG,_5\'-nucleotidase
Potri.002G260300	Leucine_carboxyl_methyltransferase	Leucine_carboxyl_methyltransferase
Potri.002G260400	CBS_domain-containing_protein_with_a_domain_of_unknown_function_(DUF21)	CBS_domain-containing_protein_with_a_domain_of_unknown_function_(DUF21)
Potri.002G260500	NA	NA
Potri.002G260600	S-adenosyl-L-methionine-dependent_methyltransferases_superfamily_protein	S-adenosyl-L-methionine-dependent_methyltransferases_superfamily_protein
Potri.002G260700	flavodoxin_family_protein_/_radical_SAM_domain-containing_protein	flavodoxin_family_protein_/_radical_SAM_domain-containing_protein
Potri.002G260800	NA	NA
Potri.002G260900	Erythronate-4-phosphate_dehydrogenase_family_protein	Erythronate-4-phosphate_dehydrogenase_family_protein
Potri.002G261000	Sec14p-like_phosphatidylinositol_transfer_family_protein	Sec14p-like_phosphatidylinositol_transfer_family_protein
Potri.002G261100	NA	NA
Potri.002G261200	NA	NA
Potri.002G261300	NA	NA
Potri.002G261400	NA	NA
Potri.002G261500	NA	NA
Potri.002G261600	NA	NA
Potri.002G261700	NA	NA
Potri.002G261800	O-Glycosyl_hydrolases_family_17_protein	O-Glycosyl_hydrolases_family_17_protein
Potri.002G261900	DUTP-PYROPHOSPHATASE-LIKE_1	DUTP-PYROPHOSPHATASE-LIKE_1
Potri.002G262000	Sugar_isomerase_(SIS)_family_protein	Sugar_isomerase_(SIS)_family_protein
Potri.002G262100	NA	NA
Potri.002G262200	NA	NA
Potri.002G262300	GYF_domain-containing_protein	GYF_domain-containing_protein
Potri.002G262400	Protein_of_unknown_function_(DUF620)	Protein_of_unknown_function_(DUF620)
Potri.002G262500	ovate_family_protein_8	ovate_family_protein_8
Potri.002G262600	NA	NA
Potri.002G262700	NA	NA
Potri.002G262800	NA	NA
Potri.002G262900	NA	NA
Potri.002G263000	Protein_kinase_superfamily_protein	Protein_kinase_superfamily_protein
Potri.002G263100	Protein_of_unknown_function_(DUF3317)	Protein_of_unknown_function_(DUF3317)
Potri.002G263200	Proteasome_component_(PCI)_domain_protein	Proteasome_component_(PCI)_domain_protein
Potri.002G263300	Protein_of_unknown_function_(DUF3317)	Protein_of_unknown_function_(DUF3317)
Potri.002G263400	NA	NA
Potri.002G263500	NA	NA
Potri.002G263600	indeterminate(ID)-domain_2	indeterminate(ID)-domain_2
Potri.002G263700	NA	NA
Potri.002G263800	cytochrome_P450,_family_721,_subfamily_A,_polypeptide_1	cytochrome_P450,_family_721,_subfamily_A,_polypeptide_1
Potri.002G263900	Plant_self-incompatibility_protein_S1_family	Plant_self-incompatibility_protein_S1_family
Potri.002G264000	NA	NA
Potri.003G000100	zinc_ion_binding;nucleic_acid_binding	zinc_ion_binding;nucleic_acid_binding
Potri.003G000200	zinc_ion_binding;nucleic_acid_binding	zinc_ion_binding;nucleic_acid_binding
Potri.003G000300	Zinc_knuckle_(CCHC-type)_family_protein	Zinc_knuckle_(CCHC-type)_family_protein
Potri.003G000400	homeobox_protein_31	homeobox_protein_31
Potri.003G000500	cullin-associated_and_neddylation_dissociated	cullin-associated_and_neddylation_dissociated
Potri.003G000600	nucleic_acid_binding;RNA_binding	nucleic_acid_binding;RNA_binding
Potri.003G000700	Pentatricopeptide_repeat_(PPR)_superfamily_protein	Pentatricopeptide_repeat_(PPR)_superfamily_protein
Potri.003G000800	Major_facilitator_superfamily_protein	Major_facilitator_superfamily_protein
Potri.003G000900	mitotic_checkpoint_family_protein	mitotic_checkpoint_family_protein
Potri.003G001000	auxin_response_factor_1	auxin_response_factor_1
Potri.003G001100	NA	NA
Potri.003G001200	NA	NA
Potri.003G001300	NA	NA
Potri.003G001400	dynamin-like_3	dynamin-like_3
Potri.003G001500	chloride_channel_C	chloride_channel_C
Potri.003G001600	NA	NA
Potri.003G001700	Core-2/I-branching_beta-1,6-N-acetylglucosaminyltransferase_family_protein	Core-2/I-branching_beta-1,6-N-acetylglucosaminyltransferase_family_protein
Potri.003G001800	Seven_transmembrane_MLO_family_protein	Seven_transmembrane_MLO_family_protein
Potri.003G001900	pectin_methylesterase_3	pectin_methylesterase_3
Potri.003G002000	Core-2/I-branching_beta-1,6-N-acetylglucosaminyltransferase_family_protein	Core-2/I-branching_beta-1,6-N-acetylglucosaminyltransferase_family_protein
Potri.003G002100	pectin_methylesterase_3	pectin_methylesterase_3
Potri.003G002200	dynamin-like_3	dynamin-like_3
Potri.003G002300	chloride_channel_C	chloride_channel_C
Potri.003G002400	Core-2/I-branching_beta-1,6-N-acetylglucosaminyltransferase_family_protein	Core-2/I-branching_beta-1,6-N-acetylglucosaminyltransferase_family_protein
Potri.003G002500	Seven_transmembrane_MLO_family_protein	Seven_transmembrane_MLO_family_protein
Potri.003G002600	pectin_methylesterase_3	pectin_methylesterase_3
Potri.003G002700	Core-2/I-branching_beta-1,6-N-acetylglucosaminyltransferase_family_protein	Core-2/I-branching_beta-1,6-N-acetylglucosaminyltransferase_family_protein
Potri.003G002800	pectin_methylesterase_3	pectin_methylesterase_3
Potri.003G002900	NA	NA
Potri.003G003000	glutamine-rich_protein_23	glutamine-rich_protein_23
Potri.003G003100	Protein_of_unknown_function_(DUF707)	Protein_of_unknown_function_(DUF707)
Potri.003G003200	FAR1-related_sequence_11	FAR1-related_sequence_11
Potri.003G003300	nicotinamidase_2	nicotinamidase_2
Potri.003G003400	Beta-glucosidase,_GBA2_type_family_protein	Beta-glucosidase,_GBA2_type_family_protein
Potri.003G003500	NA	NA
Potri.003G003600	NA	NA
Potri.003G003700	Protein_kinase_superfamily_protein	Protein_kinase_superfamily_protein
Potri.003G003800	NA	NA
Potri.003G003900	ATP_binding;leucine-tRNA_ligases;aminoacyl-tRNA_ligases;nucleotide_binding;ATP_binding;aminoacyl-tRNA_ligases	ATP_binding;leucine-tRNA_ligases;aminoacyl-tRNA_ligases;nucleotide_binding;ATP_binding;aminoacyl-tRNA_ligases
Potri.003G004000	Ras-related_small_GTP-binding_family_protein	Ras-related_small_GTP-binding_family_protein
Potri.003G004100	RAB_GTPase_11C	RAB_GTPase_11C
Potri.003G004200	12-oxophytodienoate_reductase_1	12-oxophytodienoate_reductase_1
Potri.003G004200	FMN-linked_oxidoreductases_superfamily_protein	FMN-linked_oxidoreductases_superfamily_protein
Potri.003G004300	NA	NA
Potri.003G004400	PIF1_helicase	PIF1_helicase
Potri.003G004500	NA	NA
Potri.003G004600	12-oxophytodienoate_reductase_1	12-oxophytodienoate_reductase_1
Potri.003G004700	Translation_elongation_factor_EF1B,_gamma_chain	Translation_elongation_factor_EF1B,_gamma_chain
Potri.003G004800	sulfotransferase_2A	sulfotransferase_2A
Potri.003G004900	NA	NA
Potri.003G005000	Translation_elongation_factor_EF1B,_gamma_chain	Translation_elongation_factor_EF1B,_gamma_chain
Potri.003G005100	sulfotransferase_2A	sulfotransferase_2A
Potri.003G005200	sulfotransferase_2A	sulfotransferase_2A
Potri.003G005300	NA	NA
Potri.003G005400	NA	NA
Potri.003G005500	RNA-binding_KH_domain-containing_protein	RNA-binding_KH_domain-containing_protein
Potri.003G005600	NA	NA
Potri.003G005700	Smg-4/UPF3_family_protein	Smg-4/UPF3_family_protein
Potri.003G005800	FAD/NAD(P)-binding_oxidoreductase_family_protein	FAD/NAD(P)-binding_oxidoreductase_family_protein
Potri.003G005900	shaggy-like_protein_kinase_41	shaggy-like_protein_kinase_41
